question,correct_answer
one_half_or_50%_of_genetic_information_is_passed_down_from_mother_to_child,True
there_is_more_than_one_gene_that_causes_nf1,False
a_father_can_pass_down_an_nf1_gene_mutation_to_his_daughters,True
all_people_who_have_an_nf1_gene_mutation_will_develop_cancer,False
nf1_symptoms_vary_from_one_person_to_another,True
a_person_is_born_with_nf1,True
nf1_can_skip_generations,False
if_a_woman_with_nf1_has_one_child_with_nf1_her_second_child_will_definitely_not_have_nf1,False
people_with_nf1_are_generally_more_likely_to_develop_cancer_at_a_younger_age,True
if_a_woman_with_nf1_has_scoliosis_then_her_child_will_also_develop_scoliosis,False
tumors_in_nf1_can_appear_anywhere_in_the_body,True
people_with_nf1_from_different_families_will_always_have_different_symptoms,False
cafe-au-lait_spots_(brown_marks_on_the_skin)_are_often_the_first_sign_that_a_person_has_nf1,True
a_baby_with_nf1_may_be_born_with_a_tumor,True
all_cases_of_nf1_can_be_detected_in_a_womans_pregnancy_by_ultrasound,False
half_of_people_with_nf1_have_a_family_history_of_nf1,True
a_person_with_nf1_can_develop_tumors_that_may_lead_to_vision_loss_or_blindness,True
women_with_nf1_are_at_an_increased_risk_for_breast_cancer,True
is_scoliosis_associated_with_nf1?,True
is_attention_deficit_hyperactivity_disorder_associated_with_nf1?,True
are_clubbed_feet_associated_with_nf1?,False
are_congenital_heart_defects_associated_with_nf1?,False
are_seizures_associated_with_nf1?,True
are_bumps_on_the_skin_associated_with_nf1?,True
are_allergies_associated_with_nf1?,False
is_high_blood_pressure_associated_with_nf1?,True
are_learning_disabilities_associated_with_nf1?,True
are_optic_gliomas_associated_with_nf1?,True
is_infertility_associated_with_nf1?,False
are_lisch_nodules_(dark_spots_on_the_iris;_the_colored_part_of_the_eye)_associated_with_nf1?,True
is_small_head_size_associated_with_nf1?,False
are_cataracts_associated_with_nf1?,False
how_is_nf1_diagnosed?,All of the above
what_types_of_exams_may_be_helpful_when_trying_to_make_a_diagnosis_of_nf1?,All of the above
what_causes_nf1?,A mutation in a gene
what_is_the_function_of_the_nf1_gene_in_the_body?,Stops tumors from growing in the body
are_men_or_women_more_likely_to_be_affected_by_nf1?,Men and women are affected equally
how_many_copies_of_a_non-working_nf1_gene_must_one_have_to_be_affected_with_nf1?,1
if_a_person_with_nf1_has_a_child_what_is_the_chance_that_the_child_will_have_nf1?,0.5
what_is_the_increased_risk_for_a_person_with_nf1_to_develop_cancer_in_their_lifetime_compared_to_someone_without_nf1?,0.1
during_childhood_what_kind_of_screening_may_be_done_for_optic_gliomas_(eye_tumors)?,MRI and/or annual eye exams
how_do_the_symptoms_of_nf1_change_as_a_person_gets_older?,A person with NF1 can develop more symptoms as they get older.
what_is_the_most_concerning_symptom_of_a_tumor_to_suggest_it_has_become_malignant_(cancerous)?,When the tumor grows rapidly and becomes painful
